,date,gold,silver,week,month,mean_per_week_gold,mean_per_week_silver,mean_per_month_gold,mean_per_month_silver
50,2020-08-08,4880.61,67.07,32,8,4343.814,49.27199999999999,4492.892000000001,58.665
51,2020-07-08,4811.98,65.48,28,7,4569.803333333333,56.23,4215.01619047619,47.62857142857143
52,2020-06-08,4793.21,63.48,24,6,4782.445,61.775,3928.87375,41.769999999999996
53,2020-05-08,4653.01,57.4,19,5,4374.31,53.870000000000005,3994.99894736842,41.0221052631579
54,2020-04-08,4704.01,57.77,15,4,4298.305,50.78,4054.191578947369,39.52736842105263
55,2020-01-08,4661.68,56.82,2,1,4521.7425,55.5575,3421.162857142857,39.43333333333334
56,2020-07-31,4604.62,54.63,31,7,4255.2919999999995,51.588,4215.01619047619,47.62857142857143
57,2020-07-30,4538.78,56.52,31,7,4255.2919999999995,51.588,4215.01619047619,47.62857142857143
58,2020-07-29,4466.49,54.44,31,7,4255.2919999999995,51.588,4215.01619047619,47.62857142857143
59,2020-07-28,4466.19,56.1,31,7,4255.2919999999995,51.588,4215.01619047619,47.62857142857143
60,2020-07-25,4359.47,51.74,30,7,4243.004,49.282,4215.01619047619,47.62857142857143
61,2020-07-24,4294.6,52.16,30,7,4243.004,49.282,4215.01619047619,47.62857142857143
62,2020-07-23,4212.67,50.63,30,7,4243.004,49.282,4215.01619047619,47.62857142857143
63,2020-07-22,4159.87,46.9,30,7,4243.004,49.282,4215.01619047619,47.62857142857143
64,2020-07-21,4188.41,44.98,30,7,4243.004,49.282,4215.01619047619,47.62857142857143
65,2020-07-18,4156.86,44.18,29,7,4126.556,43.778000000000006,4215.01619047619,47.62857142857143
66,2020-07-17,4132.77,44.07,29,7,4126.556,43.778000000000006,4215.01619047619,47.62857142857143
67,2020-07-16,4118.45,44.0,29,7,4126.556,43.778000000000006,4215.01619047619,47.62857142857143
68,2020-07-15,4112.12,43.21,29,7,4126.556,43.778000000000006,4215.01619047619,47.62857142857143
69,2020-07-14,4112.58,43.43,29,7,4126.556,43.778000000000006,4215.01619047619,47.62857142857143
70,2020-11-07,4135.33,42.98,45,11,3965.0799999999995,43.43666666666667,3945.444999999999,45.215
71,2020-10-07,4130.29,42.92,41,10,4338.2025,51.74250000000001,4377.283636363637,53.15909090909091
72,2020-09-07,4121.14,42.34,37,9,4516.59,55.83666666666667,4533.7861111111115,56.52833333333334
73,2020-08-07,4119.83,41.81,32,8,4343.814,49.27199999999999,4492.892000000001,58.665
74,2020-07-07,4069.87,41.87,28,7,4569.803333333333,56.23,4215.01619047619,47.62857142857143
